RXCUI1,RXAUI1,STYPE1,REL,RXCUI2,RXAUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
3621376,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820851,,MTHSPL,,,,,4096,
3621550,AUI,RO,,12986983,AUI,has_inactive_ingredient,164828736,,MTHSPL,,,,,4096,
3627779,AUI,RO,,12984983,AUI,has_inactive_ingredient,164819708,,MTHSPL,,,,,4096,
3632633,AUI,RO,,12987172,AUI,has_inactive_ingredient,164831210,,MTHSPL,,,,,4096,
3632664,AUI,RO,,12985884,AUI,has_inactive_ingredient,164825173,,MTHSPL,,,,,4096,
3633133,AUI,RO,,12984983,AUI,has_inactive_ingredient,164819722,,MTHSPL,,,,,4096,
3716430,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820532,,MTHSPL,,,,,4096,
3722204,AUI,RO,,12985884,AUI,has_inactive_ingredient,164825026,,MTHSPL,,,,,4096,
4231182,AUI,RO,,12985888,AUI,has_inactive_ingredient,164825113,,MTHSPL,,,,,4096,
4231765,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820598,,MTHSPL,,,,,4096,
4232700,AUI,RO,,12987159,AUI,has_inactive_ingredient,164830490,,MTHSPL,,,,,4096,
4232700,AUI,RO,,12987160,AUI,has_inactive_ingredient,164830972,,MTHSPL,,,,,4096,
4233224,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820041,,MTHSPL,,,,,4096,
4233225,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820410,,MTHSPL,,,,,4096,
4233410,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820215,,MTHSPL,,,,,4096,
4234039,AUI,RO,,12987172,AUI,has_inactive_ingredient,164830899,,MTHSPL,,,,,4096,
4234292,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820495,,MTHSPL,,,,,4096,
4234292,AUI,RO,,12987172,AUI,has_inactive_ingredient,164830989,,MTHSPL,,,,,4096,
4234311,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820443,,MTHSPL,,,,,4096,
4236496,AUI,RO,,12984984,AUI,has_inactive_ingredient,164819737,,MTHSPL,,,,,4096,
4236496,AUI,RO,,12984985,AUI,has_inactive_ingredient,164819809,,MTHSPL,,,,,4096,
4236496,AUI,RO,,12985882,AUI,has_inactive_ingredient,164825235,,MTHSPL,,,,,4096,
4236496,AUI,RO,,12987170,AUI,has_inactive_ingredient,164831237,,MTHSPL,,,,,4096,
4236496,AUI,RO,,12987171,AUI,has_inactive_ingredient,164830542,,MTHSPL,,,,,4096,
4236497,AUI,RO,,12984981,AUI,has_inactive_ingredient,164819899,,MTHSPL,,,,,4096,
4236497,AUI,RO,,12984982,AUI,has_inactive_ingredient,164820260,,MTHSPL,,,,,4096,
4236500,AUI,RO,,12984984,AUI,has_inactive_ingredient,164820309,,MTHSPL,,,,,4096,
4236500,AUI,RO,,12984985,AUI,has_inactive_ingredient,164819829,,MTHSPL,,,,,4096,
4236906,AUI,RO,,12987159,AUI,has_inactive_ingredient,164831175,,MTHSPL,,,,,4096,
4236906,AUI,RO,,12987160,AUI,has_inactive_ingredient,164830820,,MTHSPL,,,,,4096,
4236931,AUI,RO,,12984981,AUI,has_inactive_ingredient,164820730,,MTHSPL,,,,,4096,
4236931,AUI,RO,,12984984,AUI,has_inactive_ingredient,164820964,,MTHSPL,,,,,4096,
4236931,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820149,,MTHSPL,,,,,4096,
4236931,AUI,RO,,12987171,AUI,has_inactive_ingredient,164831213,,MTHSPL,,,,,4096,
4237650,AUI,RO,,12987172,AUI,has_inactive_ingredient,164831331,,MTHSPL,,,,,4096,
4238781,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820127,,MTHSPL,,,,,4096,
4239181,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820062,,MTHSPL,,,,,4096,
4239432,AUI,RO,,12984983,AUI,has_inactive_ingredient,164819894,,MTHSPL,,,,,4096,
4253607,AUI,RO,,12985882,AUI,has_inactive_ingredient,164825140,,MTHSPL,,,,,4096,
4253607,AUI,RO,,12987170,AUI,has_inactive_ingredient,164831035,,MTHSPL,,,,,4096,
4253607,AUI,RO,,12987171,AUI,has_inactive_ingredient,164830383,,MTHSPL,,,,,4096,
4607084,AUI,RO,,12986983,AUI,has_inactive_ingredient,164828383,,MTHSPL,,,,,4096,
4622904,AUI,RO,,12987172,AUI,has_active_ingredient,164829363,,MTHSPL,,,,,4096,
4622904,AUI,RO,,12987172,AUI,has_active_moiety,164831512,,MTHSPL,,,,,4096,
5038351,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820201,,MTHSPL,,,,,4096,
5049492,AUI,RO,,12985888,AUI,has_inactive_ingredient,164824876,,MTHSPL,,,,,4096,
5080263,AUI,RO,,12985882,AUI,has_inactive_ingredient,164824739,,MTHSPL,,,,,4096,
5080263,AUI,RO,,12987170,AUI,has_inactive_ingredient,164831214,,MTHSPL,,,,,4096,
5080263,AUI,RO,,12987171,AUI,has_inactive_ingredient,164831274,,MTHSPL,,,,,4096,
6799157,AUI,RO,,12987152,AUI,has_active_ingredient,164829317,,MTHSPL,,,,,4096,
6799157,AUI,RO,,12987152,AUI,has_active_moiety,164831461,,MTHSPL,,,,,4096,
8210547,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820995,,MTHSPL,,,,,4096,
8232035,AUI,RO,,12985049,AUI,has_inactive_ingredient,164819720,,MTHSPL,,,,,4096,
8245547,AUI,RO,,12985049,AUI,has_inactive_ingredient,164819741,,MTHSPL,,,,,4096,
9708640,AUI,RO,,12985888,AUI,has_inactive_ingredient,164824943,,MTHSPL,,,,,4096,
10337591,AUI,RO,,12985049,AUI,has_inactive_ingredient,164819858,,MTHSPL,,,,,4096,
10784397,AUI,RO,,12987152,AUI,has_inactive_ingredient,164830655,,MTHSPL,,,,,4096,
12402967,AUI,RO,,12985884,AUI,has_inactive_ingredient,164824641,,MTHSPL,,,,,4096,
12408209,AUI,RO,,12987152,AUI,has_inactive_ingredient,164830887,,MTHSPL,,,,,4096,
12436612,AUI,RO,,12987152,AUI,has_inactive_ingredient,164830449,,MTHSPL,,,,,4096,
12440246,AUI,RO,,12987172,AUI,has_active_ingredient,164829397,,MTHSPL,,,,,4096,
12440246,AUI,RO,,12987172,AUI,has_active_moiety,164831540,,MTHSPL,,,,,4096,
12729192,AUI,RO,,12985882,AUI,has_active_ingredient,164823901,,MTHSPL,,,,,4096,
12729192,AUI,RO,,12987170,AUI,has_active_ingredient,164829380,,MTHSPL,,,,,4096,
12729192,AUI,RO,,12987171,AUI,has_active_ingredient,164829329,,MTHSPL,,,,,4096,
12729193,AUI,RO,,12985882,AUI,has_active_moiety,164825394,,MTHSPL,,,,,4096,
12729193,AUI,RO,,12987170,AUI,has_active_moiety,164831453,,MTHSPL,,,,,4096,
12729193,AUI,RO,,12987171,AUI,has_active_moiety,164831492,,MTHSPL,,,,,4096,
12748769,AUI,RO,,12984983,AUI,has_active_ingredient,164818299,,MTHSPL,,,,,4096,
12748770,AUI,RO,,12984983,AUI,has_active_moiety,164821358,,MTHSPL,,,,,4096,
12749898,AUI,RO,,12984984,AUI,has_active_ingredient,164818247,,MTHSPL,,,,,4096,
12749898,AUI,RO,,12984985,AUI,has_active_ingredient,164818334,,MTHSPL,,,,,4096,
12749900,AUI,RO,,12984984,AUI,has_active_moiety,164821354,,MTHSPL,,,,,4096,
12749900,AUI,RO,,12984985,AUI,has_active_moiety,164821267,,MTHSPL,,,,,4096,
12750250,AUI,RO,,12984981,AUI,has_active_ingredient,164818183,,MTHSPL,,,,,4096,
12750250,AUI,RO,,12984982,AUI,has_active_ingredient,164818192,,MTHSPL,,,,,4096,
12750251,AUI,RO,,12984981,AUI,has_active_moiety,164821240,,MTHSPL,,,,,4096,
12750251,AUI,RO,,12984982,AUI,has_active_moiety,164821239,,MTHSPL,,,,,4096,
12797716,AUI,RO,,12984983,AUI,has_inactive_ingredient,164819975,,MTHSPL,,,,,4096,
12797717,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820406,,MTHSPL,,,,,4096,
12819654,AUI,RO,,12984983,AUI,has_active_ingredient,164818304,,MTHSPL,,,,,4096,
12819654,AUI,RO,,12985882,AUI,has_active_ingredient,164823911,,MTHSPL,,,,,4096,
12819654,AUI,RO,,12987170,AUI,has_active_ingredient,164829406,,MTHSPL,,,,,4096,
